Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
333,360.92,359.42,361.52,362.97,362.67,364.07,362.07,363.51,361.09,343.78,350.88,321.464611920015,343.725965099974,343.725965099974,343.725965099974,343.725965099974,343.725965099974,343.725965099974,343.725965099974,343.725965099974,343.725965099974,385.668469898265,0.1575,25900,3,0.98
334,360.82,359.36,361.58,362.99,362.69,364.1,362.13,363.53,361.07,343.83,350.95,321.50359603913,343.769329107174,343.769329107174,343.769329107174,343.769329107174,343.769329107174,343.769329107174,343.769329107174,343.769329107174,343.769329107174,385.711833905465,0.1575,25900,3,0.98
335,360.77,359.31,361.6,363.0,362.69,364.15,362.16,363.56,361.13,343.81,350.86,321.542575898638,343.812688950557,343.812688950557,343.812688950557,343.812688950557,343.812688950557,343.812688950557,343.812688950557,343.812688950557,343.812688950557,385.755193748848,0.1575,25900,3,0.98
336,360.75,359.27,361.62,363.01,362.68,364.17,362.19,363.59,361.23,343.78,350.78,321.581551498349,343.856044629761,343.856044629761,343.856044629761,343.856044629761,343.856044629761,343.856044629761,343.856044629761,343.856044629761,343.856044629761,385.798549428052,0.1575,25900,3,0.98
337,360.74,359.25,361.65,363.02,362.68,364.17,362.26,363.61,361.32,343.75,350.85,321.62052283807,343.89939614442,343.89939614442,343.89939614442,343.89939614442,343.89939614442,343.89939614442,343.89939614442,343.89939614442,343.89939614442,385.841900942711,0.1575,25900,3,0.98
338,360.7,359.23,361.65,363.03,362.67,364.18,362.33,363.63,361.39,343.73,350.88,321.659489917609,343.942743494172,343.942743494172,343.942743494172,343.942743494172,343.942743494172,343.942743494172,343.942743494172,343.942743494172,343.942743494172,385.885248292462,0.1575,25900,3,0.98
339,360.64,359.23,361.66,363.03,362.65,364.18,362.38,363.61,361.46,343.72,350.83,321.698452736777,343.986086678652,343.986086678652,343.986086678652,343.986086678652,343.986086678652,343.986086678652,343.986086678652,343.986086678652,343.986086678652,385.928591476943,0.1575,25900,3,0.98
340,360.62,359.25,361.67,363.02,362.66,364.2,362.38,363.62,361.55,343.72,350.66,321.737411295382,344.029425697498,344.029425697498,344.029425697498,344.029425697498,344.029425697498,344.029425697498,344.029425697498,344.029425697498,344.029425697498,385.971930495789,0.1575,25900,3,0.98
341,360.59,359.27,361.68,363.01,362.66,364.21,362.34,363.63,361.63,343.7,350.71,321.776365593231,344.072760550347,344.072760550347,344.072760550347,344.072760550347,344.072760550347,344.072760550347,344.072760550347,344.072760550347,344.072760550347,386.015265348637,0.1575,25900,3,0.98
342,360.58,359.32,361.68,363.0,362.65,364.23,362.12,363.54,361.71,343.71,350.82,321.815315630135,344.116091236834,344.116091236834,344.116091236834,344.116091236834,344.116091236834,344.116091236834,344.116091236834,344.116091236834,344.116091236834,386.058596035125,0.1575,25900,3,0.98
