Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
70,362.11,360.93,361.59,362.02,361.69,363.49,361.45,362.31,359.33,334.44,235.17,310.531424648319,327.931732199048,327.931732199048,327.931732199048,327.931732199048,327.931732199048,327.931732199048,327.931732199048,327.931732199048,327.931732199048,361.701714830784,0.1575,19400,3,0.76
71,362.09,360.92,361.58,362.02,361.68,363.46,361.39,362.23,359.47,334.57,235.35,310.561661720453,327.964674326622,327.964674326622,327.964674326622,327.964674326622,327.964674326622,327.964674326622,327.964674326622,327.964674326622,327.964674326622,361.734656958357,0.1575,19400,3,0.76
72,362.06,360.88,361.57,362.03,361.69,363.43,361.32,362.16,359.57,334.69,235.44,310.591896360987,327.997614085363,327.997614085363,327.997614085363,327.997614085363,327.997614085363,327.997614085363,327.997614085363,327.997614085363,327.997614085363,361.767596717099,0.1575,19400,3,0.76
73,362.02,360.82,361.56,362.04,361.7,363.41,361.28,362.13,359.65,334.81,235.72,310.622128569806,328.030551475096,328.030551475096,328.030551475096,328.030551475096,328.030551475096,328.030551475096,328.030551475096,328.030551475096,328.030551475096,361.800534106832,0.1575,19400,3,0.76
74,361.95,360.75,361.54,362.03,361.7,363.39,361.26,362.09,359.71,334.97,236.02,310.652358346796,328.063486495642,328.063486495642,328.063486495642,328.063486495642,328.063486495642,328.063486495642,328.063486495642,328.063486495642,328.063486495642,361.833469127378,0.1575,19400,3,0.76
75,361.9,360.67,361.51,362.02,361.7,363.37,361.26,362.07,359.7,335.11,236.33,310.682585691842,328.096419146824,328.096419146824,328.096419146824,328.096419146824,328.096419146824,328.096419146824,328.096419146824,328.096419146824,328.096419146824,361.86640177856,0.1575,19400,3,0.76
76,361.87,360.57,361.48,362.01,361.68,363.36,361.31,362.06,359.71,335.22,236.56,310.712810604831,328.129349428464,328.129349428464,328.129349428464,328.129349428464,328.129349428464,328.129349428464,328.129349428464,328.129349428464,328.129349428464,361.8993320602,0.1575,19400,3,0.76
77,361.84,360.51,361.46,362.0,361.67,363.35,361.34,362.04,359.73,335.32,236.84,310.743033085648,328.162277340385,328.162277340385,328.162277340385,328.162277340385,328.162277340385,328.162277340385,328.162277340385,328.162277340385,328.162277340385,361.932259972121,0.1575,19400,3,0.76
78,361.82,360.47,361.42,361.98,361.66,363.36,361.38,362.06,359.75,335.44,236.97,310.77325313418,328.195202882409,328.195202882409,328.195202882409,328.195202882409,328.195202882409,328.195202882409,328.195202882409,328.195202882409,328.195202882409,361.965185514145,0.1575,19400,3,0.76
79,361.8,360.44,361.37,361.95,361.64,363.36,361.37,362.13,359.79,335.58,237.31,310.803470750311,328.22812605436,328.22812605436,328.22812605436,328.22812605436,328.22812605436,328.22812605436,328.22812605436,328.22812605436,328.22812605436,361.998108686096,0.1575,19400,3,0.76
80,361.8,360.41,361.36,361.94,361.63,363.37,361.34,362.17,359.82,335.73,237.54,310.83368593393,328.261046856059,328.261046856059,328.261046856059,328.261046856059,328.261046856059,328.261046856059,328.261046856059,328.261046856059,328.261046856059,362.031029487795,0.1575,19400,3,0.76
81,361.79,360.36,361.33,361.92,361.61,363.37,361.31,362.19,359.84,335.88,237.66,310.86389868492,328.293965287331,328.293965287331,328.293965287331,328.293965287331,328.293965287331,328.293965287331,328.293965287331,328.293965287331,328.293965287331,362.063947919067,0.1575,19400,3,0.76
82,361.8,360.33,361.32,361.89,361.6,363.37,361.29,362.17,359.87,336.03,237.96,310.89410900317,328.326881347997,328.326881347997,328.326881347997,328.326881347997,328.326881347997,328.326881347997,328.326881347997,328.326881347997,328.326881347997,362.096863979733,0.1575,19400,3,0.76
83,361.79,360.31,361.3,361.9,361.58,363.38,361.31,362.14,359.97,336.22,238.13,310.924316888564,328.35979503788,328.35979503788,328.35979503788,328.35979503788,328.35979503788,328.35979503788,328.35979503788,328.35979503788,328.35979503788,362.129777669616,0.1575,19400,3,0.76
