Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
494,363.61,361.03,363.8,364.55,364.29,366.24,364.78,365.22,365.13,356.29,258.66,336.610298671083,356.449357434565,356.449357434565,356.449357434565,356.449357434565,356.449357434565,356.449357434565,356.449357434565,356.449357434565,356.449357434565,398.391862232855,0.1575,25900,3,0.76
495,363.51,360.93,363.7,364.39,364.18,366.11,364.64,365.09,364.85,356.04,258.55,336.651864313304,356.494981470062,356.494981470062,356.494981470062,356.494981470062,356.494981470062,356.494981470062,356.494981470062,356.494981470062,356.494981470062,398.437486268352,0.1575,25900,3,0.76
496,363.43,360.83,363.61,364.28,364.06,366.02,364.51,365.0,364.56,355.76,258.58,336.693426068776,356.540601792673,356.540601792673,356.540601792673,356.540601792673,356.540601792673,356.540601792673,356.540601792673,356.540601792673,356.540601792673,398.483106590964,0.1575,25900,3,0.76
497,363.34,360.75,363.53,364.13,363.96,365.9,364.39,364.88,364.32,355.49,258.45,336.734983937233,356.586218401988,356.586218401988,356.586218401988,356.586218401988,356.586218401988,356.586218401988,356.586218401988,356.586218401988,356.586218401988,398.528723200278,0.1575,25900,3,0.76
498,363.28,360.68,363.47,363.98,363.85,365.77,364.27,364.72,364.09,355.21,258.51,336.776537918407,356.631831297593,356.631831297593,356.631831297593,356.631831297593,356.631831297593,356.631831297593,356.631831297593,356.631831297593,356.631831297593,398.574336095884,0.1575,25900,3,0.76
499,363.21,360.61,363.41,363.86,363.75,365.68,364.15,364.52,363.88,354.91,258.34,336.818088012028,356.677440479077,356.677440479077,356.677440479077,356.677440479077,356.677440479077,356.677440479077,356.677440479077,356.677440479077,356.677440479077,398.619945277368,0.1575,25900,3,0.76
500,363.15,360.52,363.31,363.73,363.59,365.58,363.99,364.35,363.5,354.44,258.11,336.859634217829,356.723045946028,356.723045946028,356.723045946028,356.723045946028,356.723045946028,356.723045946028,356.723045946028,356.723045946028,356.723045946028,398.665550744319,0.1575,25900,3,0.76
501,363.1,360.44,363.22,363.62,363.44,365.49,363.83,364.26,363.11,353.99,257.94,336.901176535542,356.768647698035,356.768647698035,356.768647698035,356.768647698035,356.768647698035,356.768647698035,356.768647698035,356.768647698035,356.768647698035,398.711152496325,0.1575,25900,3,0.76
502,363.07,360.41,363.18,363.5,363.36,365.41,363.72,364.21,362.83,353.7,257.91,336.9427149649,356.814245734686,356.814245734686,356.814245734686,356.814245734686,356.814245734686,356.814245734686,356.814245734686,356.814245734686,356.814245734686,398.756750532976,0.1575,25900,3,0.76
503,363.02,360.39,363.14,363.44,363.28,365.36,363.62,364.19,362.54,353.41,257.84,336.984249505635,356.859840055569,356.859840055569,356.859840055569,356.859840055569,356.859840055569,356.859840055569,356.859840055569,356.859840055569,356.859840055569,398.80234485386,0.1575,25900,3,0.76
504,362.95,360.36,363.1,363.36,363.2,365.29,363.54,364.13,362.26,353.1,257.75,337.025780157479,356.905430660274,356.905430660274,356.905430660274,356.905430660274,356.905430660274,356.905430660274,356.905430660274,356.905430660274,356.905430660274,398.847935458565,0.1575,25900,3,0.76
505,362.87,360.35,363.05,363.28,363.13,365.23,363.49,364.07,362.04,352.81,257.64,337.067306920165,356.95101754839,356.95101754839,356.95101754839,356.95101754839,356.95101754839,356.95101754839,356.95101754839,356.95101754839,356.95101754839,398.89352234668,0.1575,25900,3,0.76
506,362.79,360.34,363.01,363.21,363.06,365.16,363.44,363.99,361.84,352.54,257.53,337.108829793427,356.996600719505,356.996600719505,356.996600719505,356.996600719505,356.996600719505,356.996600719505,356.996600719505,356.996600719505,356.996600719505,398.939105517795,0.1575,25900,3,0.76
507,362.73,360.35,362.98,363.15,362.99,365.08,363.4,363.91,361.68,352.25,257.56,337.150348776997,357.042180173209,357.042180173209,357.042180173209,357.042180173209,357.042180173209,357.042180173209,357.042180173209,357.042180173209,357.042180173209,398.984684971499,0.1575,25900,3,0.76
