Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
160,363.63,364.61,365.73,366.48,357.68,329.334829298367,352.493543784808,352.495332234271,352.497120683734,352.493796617944,351.361354973832,351.2525715636,351.2525715636,351.2525715636,351.2525715636,363.629093760217,0.084,25900,25,0.98
161,363.69,364.65,365.76,366.49,357.69,329.407371006323,352.57441774112,352.576161953012,352.577906164904,352.574785420316,351.445490501468,351.336826988859,351.336826988859,351.336826988859,351.336826988859,363.713349185476,0.084,25900,25,0.98
162,363.72,364.69,365.79,366.52,357.7,329.479885241002,352.655263419424,352.65696383141,352.658664243396,352.655746469071,351.529595810239,351.421052459032,351.421052459032,351.421052459032,351.421052459032,363.797574655649,0.084,25900,25,0.98
163,363.76,364.72,365.81,366.54,357.68,329.552372007206,352.736080827123,352.737737881915,352.739394936707,352.736679785206,351.613670887053,351.505247959886,351.505247959886,351.505247959886,351.505247959886,363.881770156503,0.084,25900,25,0.98
164,363.8,364.75,365.83,366.55,357.67,329.62483130969,352.816869971582,352.818484116957,352.820098262332,352.817570622427,351.697715719147,351.589413477517,351.589413477517,351.589413477517,351.589413477517,363.965935674134,0.084,25900,25,0.98
165,363.84,364.78,365.85,366.56,357.67,329.697263153199,352.89763086013,352.899202548894,352.900774237659,352.898427540885,351.781730293997,351.673548998267,351.673548998267,351.673548998267,351.673548998267,364.050071194884,0.084,25900,25,0.98
166,363.84,364.81,365.87,366.59,357.68,329.769667542482,352.978363500048,352.979893189977,352.981422879907,352.979256850811,351.865714599256,351.757654508659,351.757654508659,351.757654508659,351.757654508659,364.134176705276,0.084,25900,25,0.98
167,363.84,364.85,365.87,366.61,357.69,329.842044482224,353.059067898594,353.060556052483,353.062044206372,353.060058573431,351.949668622974,351.841729995614,351.841729995614,351.841729995614,351.841729995614,364.218252192231,0.084,25900,25,0.98
168,363.83,364.87,365.89,366.62,357.69,329.914393977136,353.139744062978,353.141191148549,353.14263823412,353.140813499688,352.033592353319,351.925775446178,351.925775446178,351.925775446178,351.925775446178,364.302297642795,0.084,25900,25,0.98
169,363.82,364.9,365.91,366.62,357.68,329.986716031882,353.220392000377,353.221798490302,353.223204980227,353.221538967761,352.117485778791,352.009790847733,352.009790847733,352.009790847733,352.009790847733,364.38631304435,0.084,25900,25,0.98
170,363.81,364.93,365.92,366.63,357.69,330.059010651121,353.301011717933,353.302378089795,353.303744461657,353.30223697434,352.20134888811,352.093776187884,352.093776187884,352.093776187884,352.093776187884,364.470298384501,0.084,25900,25,0.98
171,363.84,364.97,365.95,366.65,357.71,330.131277839499,353.381603222748,353.382929959006,353.384256695264,353.382904270305,352.285181670217,352.177731454461,352.177731454461,352.177731454461,352.177731454461,364.554253651078,0.084,25900,25,0.98
172,363.9,365.01,365.99,366.66,357.72,330.203517601625,353.462166521895,353.4634541099,353.464741697904,353.463526068278,352.368985169316,352.261656635615,352.261656635615,352.261656635615,352.261656635615,364.638178832232,0.084,25900,25,0.98
173,363.96,365.05,366.01,366.68,357.71,330.275729942116,353.542701622407,353.543950554336,353.545199486266,353.544120532213,352.452759852316,352.345551719666,352.345551719666,352.345551719666,352.345551719666,364.722073916283,0.084,25900,25,0.98
174,364.02,365.1,366.04,366.7,357.72,330.347914865554,353.623208531284,353.624419304154,353.625630077024,353.624687683346,352.53650416892,352.429416695236,352.429416695236,352.429416695236,352.429416695236,364.805938891853,0.084,25900,25,0.98
175,364.08,365.14,366.06,366.71,357.74,330.420072376533,353.703687255489,353.704860371085,353.706033486681,353.705218100002,352.620218108978,352.513251551109,352.513251551109,352.513251551109,352.513251551109,364.889773747726,0.084,25900,25,0.98
176,364.12,365.18,366.1,366.73,357.77,330.492202479591,353.784137801958,353.785273766877,353.786409731796,353.78570920211,352.703901662701,352.597056276428,352.597056276428,352.597056276428,352.597056276428,364.973578473045,0.084,25900,25,0.98
177,364.15,365.21,366.11,366.76,357.79,330.564305179275,353.864560177589,353.86565950318,353.866758828771,353.866173120529,352.787554820461,352.680830860504,352.680830860504,352.680830860504,352.680830860504,365.057353057121,0.084,25900,25,0.98
178,364.17,365.23,366.12,366.79,357.81,330.636380480124,353.944954389246,353.946017591579,353.947080793911,353.946609876419,352.871177572851,352.76457529287,352.76457529287,352.76457529287,352.76457529287,365.141097489487,0.084,25900,25,0.98
179,364.21,365.24,366.13,366.82,357.86,330.708428386656,354.025320443762,354.026348043616,354.027375643469,354.027002954725,352.954769910715,352.848289563318,352.848289563318,352.848289563318,352.848289563318,365.224811759935,0.084,25900,25,0.98
180,364.21,365.24,366.16,366.87,357.93,330.780448903361,354.105658347941,354.106650870801,354.107643393661,354.107363830161,353.038331825168,352.931973661908,352.931973661908,352.931973661908,352.931973661908,365.308495858525,0.084,25900,25,0.98
181,364.21,365.25,366.19,366.91,357.99,330.852442034735,354.185968108549,354.186926084555,354.187884060562,354.187697673778,353.121863307493,353.015627578875,353.015627578875,353.015627578875,353.015627578875,365.392149775492,0.084,25900,25,0.98
182,364.2,365.27,366.24,366.94,358.06,330.924407785254,354.266249732325,354.267173696263,354.268097660201,354.268001776623,353.205364349227,353.099251304709,353.099251304709,353.099251304709,353.099251304709,365.475773501326,0.084,25900,25,0.98
183,364.18,365.27,366.27,366.98,358.12,330.996346159377,354.346503225977,354.347393717261,354.348284208546,354.348259806133,353.288834942147,353.182844830146,353.182844830146,353.182844830146,353.182844830146,365.559367026763,0.084,25900,25,0.98
