Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
165,364.21,368.63,371.68,373.38,373.17,376.11,374.93,376.11,374.09,339.95,0,,,,,,,,,,,0,,,,,,,,,,
166,364.2,368.61,371.66,373.38,373.16,376.13,374.98,376.13,374.09,339.95,0,,,,,,,,,,,0,,,,,,,,,,
167,364.19,368.6,371.66,373.37,373.16,376.16,375.01,376.15,374.19,339.94,0,,,,,,,,,,,0,,,,,,,,,,
168,364.18,368.59,371.65,373.36,373.16,376.17,374.99,376.17,374.33,339.92,0,,,,,,,,,,,0,,,,,,,,,,
169,364.16,368.58,371.62,373.36,373.16,376.18,374.93,376.15,374.54,339.95,0,,,,,,,,,,,0,,,,,,,,,,
170,364.14,368.58,371.61,373.35,373.17,376.19,374.87,376.13,374.67,340.02,0,,,,,,,,,,,0,,,,,,,,,,
171,364.1,368.58,371.59,373.35,373.17,376.2,374.85,376.1,374.68,340.04,0,,,,,,,,,,,0,,,,,,,,,,
172,364.07,368.57,371.6,373.34,373.18,376.21,374.84,376.07,374.64,340.04,0,,,,,,,,,,,0,,,,,,,,,,
173,364.06,368.56,371.59,373.33,373.19,376.22,374.86,376.06,374.57,340.09,0,,,,,,,,,,,0,,,,,,,,,,
174,364.02,368.53,371.58,373.33,373.2,376.22,374.9,376.08,374.5,340.12,0,,,,,,,,,,,0,,,,,,,,,,
175,363.99,368.51,371.57,373.33,373.2,376.23,374.91,376.12,374.41,340.14,0,,,,,,,,,,,0,,,,,,,,,,
176,363.98,368.49,371.57,373.34,373.21,376.24,374.92,376.11,374.35,340.19,0,,,,,,,,,,,0,,,,,,,,,,
177,363.98,368.48,371.57,373.34,373.25,376.25,374.91,376.12,374.33,340.22,0,,,,,,,,,,,0,,,,,,,,,,
178,363.97,368.43,371.56,373.35,373.25,376.26,374.89,376.15,374.39,340.17,0,,,,,,,,,,,0,,,,,,,,,,
179,363.96,368.38,371.54,373.34,373.27,376.27,374.87,376.17,374.51,340.08,0,,,,,,,,,,,0,,,,,,,,,,
180,363.95,368.35,371.53,373.34,373.28,376.28,374.85,376.13,374.58,340.05,0,,,,,,,,,,,0,,,,,,,,,,
181,363.93,368.33,371.53,373.35,373.29,376.29,374.82,376.1,374.67,340.07,0,,,,,,,,,,,0,,,,,,,,,,
182,363.93,368.32,371.51,373.34,373.3,376.29,374.8,376.11,374.7,340.11,0,,,,,,,,,,,0,,,,,,,,,,
183,363.91,368.31,371.5,373.34,373.3,376.29,374.79,376.14,374.67,340.11,0,,,,,,,,,,,0,,,,,,,,,,
184,363.88,368.31,371.5,373.33,373.31,376.3,374.77,376.17,374.66,340.12,0,,,,,,,,,,,0,,,,,,,,,,
185,363.86,368.3,371.5,373.33,373.33,376.31,374.76,376.2,374.61,340.15,0,,,,,,,,,,,0,,,,,,,,,,
186,363.83,368.29,371.48,373.33,373.32,376.32,374.76,376.27,374.59,340.15,0,,,,,,,,,,,0,,,,,,,,,,
187,363.78,368.28,371.46,373.33,373.31,376.32,374.79,376.37,374.6,340.17,0,,,,,,,,,,,0,,,,,,,,,,
188,363.73,368.28,371.46,373.33,373.32,376.33,374.82,376.48,374.75,340.19,0,,,,,,,,,,,0,,,,,,,,,,
189,363.79,368.33,371.46,373.33,373.34,376.34,374.92,376.65,374.83,340.13,0,,,,,,,,,,,0,,,,,,,,,,
190,363.97,368.23,371.51,373.37,373.32,376.36,375.08,376.7,374.83,339.99,0,,,,,,,,,,,0,,,,,,,,,,
191,364.28,368.13,371.5,373.41,373.36,376.38,375.11,376.61,374.89,339.76,0,,,,,,,,,,,0,,,,,,,,,,
192,364.39,367.96,371.49,373.43,373.38,376.46,375.21,376.56,374.92,339.49,0,,,,,,,,,,,0,,,,,,,,,,
193,364.67,367.81,371.54,373.45,373.4,376.54,375.2,376.67,374.9,339.23,0,,,,,,,,,,,0,,,,,,,,,,
