Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
169,377.15,377.78,378.22,378.66,378.05,379.96,377.73,378.68,376.41,362.31,0,,,,,,,,,,,0,,,,,,,,,,
170,377.1,377.75,378.18,378.64,378.02,379.98,377.77,378.65,376.53,362.39,0,,,,,,,,,,,0,,,,,,,,,,
171,377.05,377.71,378.16,378.63,378.02,380,377.83,378.63,376.7,362.45,0,,,,,,,,,,,0,,,,,,,,,,
172,377.02,377.69,378.12,378.62,378.02,380.02,377.89,378.68,376.85,362.46,0,,,,,,,,,,,0,,,,,,,,,,
173,376.98,377.67,378.08,378.6,378.01,380.03,377.94,378.73,376.93,362.46,0,,,,,,,,,,,0,,,,,,,,,,
174,376.94,377.64,378.06,378.59,378.01,380.04,378.03,378.81,376.95,362.43,0,,,,,,,,,,,0,,,,,,,,,,
175,376.9,377.59,378.04,378.59,378.01,380.06,378.11,378.92,376.93,362.46,0,,,,,,,,,,,0,,,,,,,,,,
176,376.86,377.57,378.02,378.59,377.99,380.09,378.17,379.04,376.91,362.5,0,,,,,,,,,,,0,,,,,,,,,,
177,376.8,377.51,378,378.59,377.99,380.12,378.22,379.15,376.88,362.59,0,,,,,,,,,,,0,,,,,,,,,,
178,376.75,377.45,377.99,378.59,377.99,380.13,378.27,379.23,376.89,362.68,0,,,,,,,,,,,0,,,,,,,,,,
179,376.7,377.43,377.98,378.58,378,380.17,378.34,379.3,376.97,362.74,0,,,,,,,,,,,0,,,,,,,,,,
180,376.64,377.42,377.97,378.58,378.02,380.19,378.41,379.35,377.06,362.76,0,,,,,,,,,,,0,,,,,,,,,,
181,376.58,377.41,377.96,378.59,378.03,380.21,378.46,379.41,377.1,362.74,0,,,,,,,,,,,0,,,,,,,,,,
182,376.5,377.38,377.94,378.58,378.02,380.24,378.5,379.45,377.11,362.68,0,,,,,,,,,,,0,,,,,,,,,,
183,376.38,377.34,377.93,378.59,378.02,380.27,378.55,379.44,377.06,362.61,0,,,,,,,,,,,0,,,,,,,,,,
184,376.26,377.32,377.91,378.59,378.03,380.31,378.62,379.46,377.03,362.51,0,,,,,,,,,,,0,,,,,,,,,,
185,376.19,377.32,377.91,378.59,378.03,380.33,378.68,379.36,377.05,362.44,0,,,,,,,,,,,0,,,,,,,,,,
186,376.13,377.32,377.9,378.59,378.03,380.36,378.73,379.29,377.07,362.39,0,,,,,,,,,,,0,,,,,,,,,,
187,376.06,377.33,377.89,378.58,378.04,380.4,378.73,379.27,377.03,362.32,0,,,,,,,,,,,0,,,,,,,,,,
188,376,377.34,377.88,378.58,378.04,380.45,378.72,379.37,376.99,362.29,0,,,,,,,,,,,0,,,,,,,,,,
189,375.94,377.33,377.87,378.59,378.04,380.46,378.7,379.42,376.89,362.27,0,,,,,,,,,,,0,,,,,,,,,,
190,375.88,377.33,377.87,378.57,378.06,380.47,378.7,379.36,376.81,362.28,0,,,,,,,,,,,0,,,,,,,,,,
191,375.83,377.34,377.87,378.56,378.08,380.48,378.69,379.28,376.78,362.3,0,,,,,,,,,,,0,,,,,,,,,,
192,375.75,377.32,377.85,378.55,378.11,380.48,378.68,379.26,376.79,362.29,0,,,,,,,,,,,0,,,,,,,,,,
193,375.66,377.26,377.85,378.55,378.12,380.49,378.67,379.3,376.78,362.24,0,,,,,,,,,,,0,,,,,,,,,,
