Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
117,367.3,369.97,371.65,372.9,372.42,374.98,372.48,373.51,373.07,365.11,356.45,0,,,,,,,,,,,0,,,,,,,,,,
118,367.28,369.94,371.64,372.89,372.43,374.97,372.48,373.51,373.1,365.06,356.55,0,,,,,,,,,,,0,,,,,,,,,,
119,367.23,369.92,371.63,372.89,372.41,374.98,372.49,373.51,373.12,365.07,356.61,0,,,,,,,,,,,0,,,,,,,,,,
120,367.18,369.88,371.62,372.89,372.41,374.97,372.49,373.54,373.18,365.18,356.69,0,,,,,,,,,,,0,,,,,,,,,,
121,367.12,369.83,371.6,372.89,372.41,374.97,372.51,373.61,373.21,365.34,356.74,0,,,,,,,,,,,0,,,,,,,,,,
122,367.1,369.81,371.6,372.88,372.4,374.97,372.51,373.65,373.23,365.34,356.75,0,,,,,,,,,,,0,,,,,,,,,,
123,367.06,369.77,371.58,372.88,372.39,374.97,372.52,373.71,373.24,365.31,356.75,0,,,,,,,,,,,0,,,,,,,,,,
124,367.04,369.75,371.58,372.87,372.39,374.98,372.53,373.74,373.24,365.28,356.75,0,,,,,,,,,,,0,,,,,,,,,,
125,366.99,369.72,371.56,372.87,372.39,374.97,372.54,373.76,373.2,365.34,356.75,0,,,,,,,,,,,0,,,,,,,,,,
126,366.97,369.7,371.55,372.88,372.39,374.98,372.56,373.78,373.14,365.49,356.76,0,,,,,,,,,,,0,,,,,,,,,,
127,366.94,369.68,371.55,372.87,372.4,374.98,372.57,373.79,373.09,365.61,356.78,0,,,,,,,,,,,0,,,,,,,,,,
