Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
265,374.88,375.72,350.0,209.01,151.88,109.99,92.53,80.95,75.58,-0.15,80.48,353.323743882904,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,408.953920714474
266,374.95,375.78,350.02,208.96,151.9,110.04,92.56,80.96,75.61,0.25,80.52,353.471883930657,379.526117030005,379.526117030005,379.526117030005,379.526117030005,379.526117030005,379.526117030004,379.526117030004,379.526117030005,379.526117030004,409.120539306052
267,374.98,375.82,350.03,208.95,151.9,110.06,92.58,80.98,75.61,0.99,80.59,353.619947088994,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,409.287080151661
268,375.03,375.88,350.04,208.99,151.87,110.03,92.62,81.01,75.62,0.55,80.65,353.76793335507,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.85912096051,379.859120960511,379.859120960511,379.85912096051,409.453543236557
269,375.09,375.91,350.09,209.0,151.86,110.01,92.66,81.06,75.63,0.32,80.7,353.915842726088,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,409.619928546057
270,375.14,375.93,350.12,208.96,151.83,110.01,92.69,81.13,75.71,-2.01,80.76,354.063675199313,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,409.786236065537
271,375.18,375.94,350.15,209.02,151.83,110.05,92.69,81.2,75.76,-0.47,80.79,354.211430772059,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,409.952465780437
272,375.21,375.94,350.19,209.22,151.87,110.15,92.64,81.38,75.84,-0.16,80.85,354.359109441696,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,410.118617676257
273,375.23,375.95,350.28,209.4,151.92,110.19,92.7,81.53,76.01,-0.1,80.93,354.50671120565,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462512,380.690269462511,380.690269462512,380.690269462512,410.284691738559
274,375.27,375.98,350.33,209.54,151.94,110.12,92.91,81.7,76.21,0.42,81.03,354.6542360614,380.856265676918,380.856265676918,380.856265676918,380.856265676918,380.856265676918,380.856265676918,380.856265676918,380.856265676918,380.856265676918,410.450687952965
275,375.3,376.02,350.4,209.77,151.99,110.17,92.98,81.78,76.31,-0.02,81.09,354.801684006479,381.022184029113,381.022184029113,381.022184029113,381.022184029113,381.022184029113,381.022184029113,381.022184029113,381.022184029113,381.022184029113,410.61660630516
276,375.37,376.08,350.46,209.89,152.07,110.19,93.04,81.84,76.4,-0.8,81.16,354.949055038475,381.188024504842,381.188024504842,381.188024504842,381.188024504842,381.188024504842,381.188024504842,381.188024504842,381.188024504842,381.188024504842,410.782446780889
277,375.42,376.14,350.48,209.9,152.1,110.2,93.1,81.81,76.46,-1.44,81.24,355.096349155032,381.353787089914,381.353787089914,381.353787089914,381.353787089914,381.353787089914,381.353787089914,381.353787089914,381.353787089914,381.353787089914,410.948209365961
278,375.49,376.21,350.5,209.99,152.16,110.2,93.22,81.9,76.53,-1.18,81.31,355.243566353845,381.519471770196,381.519471770196,381.519471770196,381.519471770196,381.519471770196,381.519471770196,381.519471770196,381.519471770196,381.519471770196,411.113894046243
279,375.54,376.26,350.53,210.04,152.19,110.29,93.4,82.18,76.62,-1.45,81.38,355.390706632667,381.685078531618,381.685078531618,381.685078531618,381.685078531618,381.685078531618,381.685078531618,381.685078531618,381.685078531618,381.685078531618,411.279500807665
280,375.61,376.3,350.54,210.03,152.2,110.26,93.54,82.39,76.74,-1.38,81.45,355.537769989302,381.850607360171,381.850607360171,381.850607360171,381.850607360171,381.850607360171,381.850607360171,381.850607360171,381.850607360171,381.850607360171,411.445029636218
281,375.65,376.35,350.56,210.03,152.2,110.31,93.59,82.53,76.85,-1.22,81.52,355.684756421611,382.016058241909,382.016058241909,382.016058241909,382.016058241909,382.016058241909,382.016058241909,382.016058241909,382.016058241909,382.016058241909,411.610480517956
282,375.69,376.44,350.63,210.08,152.28,110.37,93.72,82.57,76.94,-1.47,81.64,355.831665927508,382.181431162944,382.181431162944,382.181431162944,382.181431162944,382.181431162944,382.181431162944,382.181431162944,382.181431162944,382.181431162944,411.775853438991
283,375.74,376.52,350.72,210.11,152.37,110.44,93.78,82.52,76.98,-1.94,81.76,355.978498504962,382.346726109452,382.346726109452,382.346726109452,382.346726109452,382.346726109452,382.346726109452,382.346726109452,382.346726109452,382.346726109452,411.941148385499
284,375.79,376.56,350.79,210.12,152.45,110.5,93.77,82.51,76.99,-2.25,81.83,356.125254151994,382.51194306767,382.51194306767,382.511943067671,382.511943067671,382.511943067671,382.511943067671,382.511943067671,382.511943067671,382.511943067671,412.106365343718
285,375.83,376.6,350.86,210.2,152.5,110.55,93.79,82.53,77.0,-1.33,81.89,356.271932866683,382.677082023897,382.677082023897,382.677082023897,382.677082023897,382.677082023897,382.677082023897,382.677082023897,382.677082023897,382.677082023897,412.271504299944
286,375.87,376.65,350.92,210.23,152.54,110.61,93.8,82.44,76.97,-1.42,81.97,356.41853464716,382.842142964491,382.842142964491,382.842142964491,382.842142964491,382.842142964491,382.842142964491,382.842142964491,382.842142964491,382.842142964491,412.436565240538
287,375.91,376.71,350.98,210.18,152.58,110.62,93.79,82.3,76.95,-1.87,82.01,356.565059491611,383.007125875874,383.007125875874,383.007125875874,383.007125875874,383.007125875874,383.007125875874,383.007125875874,383.007125875874,383.007125875874,412.601548151921
288,375.95,376.76,351.04,210.05,152.59,110.64,93.73,82.25,76.94,-2.03,82.07,356.711507398274,383.172030744528,383.172030744528,383.172030744528,383.172030744528,383.172030744528,383.172030744528,383.172030744528,383.172030744528,383.172030744528,412.766453020575
289,376.01,376.82,351.09,209.88,152.58,110.69,93.66,82.21,76.94,-2.48,82.11,356.857878365444,383.336857556997,383.336857556997,383.336857556997,383.336857556997,383.336857556997,383.336857556997,383.336857556997,383.336857556997,383.336857556997,412.931279833044
290,376.06,376.87,351.13,209.71,152.55,110.69,93.58,82.17,76.94,-3.09,82.15,357.004172391469,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,413.096028575933
291,376.14,376.93,351.19,209.62,152.54,110.7,93.42,82.15,76.92,-1.17,82.2,357.150389474751,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,413.260699235909
292,376.23,377.0,351.24,209.58,152.56,110.72,93.27,82.09,76.91,-2.72,82.26,357.296529613747,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,413.425291799699
293,376.26,377.07,351.27,209.56,152.58,110.75,93.3,82.04,76.9,-3.77,82.29,357.442592806966,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,413.589806254093
294,376.28,377.14,351.29,209.65,152.58,110.77,93.26,82.14,76.92,-3.49,82.32,357.588579052975,384.159820309896,384.159820309896,384.159820309896,384.159820309896,384.159820309896,384.159820309896,384.159820309896,384.159820309896,384.159820309896,413.754242585943
295,376.36,377.21,351.29,209.69,152.57,110.82,93.3,82.29,76.97,-1.72,82.36,357.73448835039,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,413.918600782159
296,376.45,377.26,351.31,209.66,152.59,110.94,93.34,82.37,77.02,-1.66,82.4,357.880320697884,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,414.082880829717
297,376.51,377.3,351.34,209.73,152.62,110.93,93.33,82.26,77.03,-2.76,82.43,358.026076094185,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,414.24708271565
298,376.55,377.34,351.39,209.75,152.64,110.87,93.32,82.18,77.02,-4.56,82.46,358.171754538073,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,414.411206427057
