Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
103,362.74,360.93,361.52,361.69,361.31,363.31,360.93,362.24,360.77,339.24,318.019578756732,336.09838631897,336.09838631897,336.09838631897,336.09838631897,336.09838631897,336.09838631897,336.09838631897,336.09838631897,336.09838631897,372.255915103859
104,362.68,360.93,361.51,361.71,361.34,363.32,360.96,362.23,360.78,339.32,318.053079521713,336.134961541563,336.134961541563,336.134961541563,336.134961541563,336.134961541563,336.134961541563,336.134961541563,336.134961541563,336.134961541563,372.292490326451
105,362.64,360.92,361.51,361.73,361.35,363.34,360.96,362.22,360.78,339.39,318.08657746982,336.171534037265,336.171534037265,336.171534037265,336.171534037265,336.171534037265,336.171534037265,336.171534037265,336.171534037265,336.171534037265,372.329062822154
106,362.65,360.86,361.51,361.75,361.37,363.36,360.94,362.2,360.76,339.5,318.120072600904,336.208103805844,336.208103805844,336.208103805844,336.208103805844,336.208103805844,336.208103805844,336.208103805844,336.208103805844,336.208103805844,372.365632590733
107,362.66,360.8,361.51,361.76,361.37,363.37,360.91,362.18,360.75,339.6,318.153564914811,336.244670847065,336.244670847065,336.244670847065,336.244670847065,336.244670847065,336.244670847065,336.244670847065,336.244670847065,336.244670847065,372.402199631953
108,362.64,360.75,361.5,361.76,361.37,363.39,360.88,362.18,360.75,339.67,318.187054411389,336.281235160693,336.281235160693,336.281235160693,336.281235160693,336.281235160693,336.281235160693,336.281235160693,336.281235160693,336.281235160693,372.438763945582
109,362.63,360.73,361.48,361.74,361.36,363.4,360.85,362.17,360.75,339.73,318.220541090487,336.317796746496,336.317796746496,336.317796746496,336.317796746496,336.317796746496,336.317796746496,336.317796746496,336.317796746496,336.317796746496,372.475325531384
110,362.63,360.72,361.46,361.74,361.36,363.41,360.83,362.18,360.73,339.79,318.254024951952,336.354355604238,336.354355604238,336.354355604238,336.354355604238,336.354355604238,336.354355604238,336.354355604238,336.354355604238,336.354355604238,372.511884389126
111,362.65,360.71,361.44,361.71,361.35,363.41,360.81,362.17,360.75,339.87,318.287505995632,336.390911733685,336.390911733685,336.390911733685,336.390911733685,336.390911733685,336.390911733685,336.390911733685,336.390911733685,336.390911733685,372.548440518574
112,362.67,360.74,361.45,361.69,361.34,363.42,360.78,362.16,360.78,339.95,318.320984221377,336.427465134605,336.427465134605,336.427465134605,336.427465134605,336.427465134605,336.427465134605,336.427465134605,336.427465134605,336.427465134605,372.584993919493
113,362.67,360.78,361.45,361.67,361.32,363.41,360.75,362.15,360.83,340.01,318.354459629034,336.464015806763,336.464015806763,336.464015806763,336.464015806763,336.464015806763,336.464015806763,336.464015806763,336.464015806763,336.464015806763,372.621544591651
114,362.65,360.83,361.44,361.65,361.31,363.39,360.69,362.15,360.86,340.06,318.387932218452,336.500563749925,336.500563749925,336.500563749925,336.500563749925,336.500563749925,336.500563749925,336.500563749925,336.500563749925,336.500563749925,372.658092534813
115,362.62,360.91,361.42,361.65,361.29,363.37,360.63,362.13,360.89,340.16,318.421401989479,336.537108963858,336.537108963858,336.537108963858,336.537108963858,336.537108963858,336.537108963858,336.537108963858,336.537108963858,336.537108963858,372.694637748746
116,362.61,360.96,361.42,361.66,361.27,363.34,360.62,362.1,360.87,340.3,318.454868941964,336.573651448328,336.573651448328,336.573651448328,336.573651448328,336.573651448328,336.573651448328,336.573651448328,336.573651448328,336.573651448328,372.731180233216
117,362.6,360.97,361.41,361.67,361.27,363.3,360.61,362.08,360.88,340.44,318.488333075756,336.610191203102,336.610191203102,336.610191203102,336.610191203102,336.610191203102,336.610191203102,336.610191203102,336.610191203102,336.610191203102,372.76771998799
