Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
145,362.92,362.39,364.35,365.96,359.26,344.844657642973,369.838083557876,369.83910485827,369.840126158665,369.84114745906,369.349623916727,369.269919837115,369.269919837115,369.269919837115,369.269919837115,381.646442033732,0.084,25900,25,0.98
146,362.93,362.44,364.38,365.98,359.27,344.911287591952,369.912761650873,369.913735322296,369.914708993719,369.915682665142,369.426495755613,369.346932033605,369.346932033605,369.346932033605,369.346932033605,381.723454230222,0.084,25900,25,0.98
147,362.94,362.48,364.39,366.01,359.29,344.977890958311,369.987412579395,369.988339737876,369.989266896357,369.990194054837,369.503336900569,369.423913750575,369.423913750575,369.423913750575,369.423913750575,381.800435947192,0.084,25900,25,0.98
148,362.97,362.51,364.4,366.03,359.32,345.044467746709,370.062036348264,370.062918111588,370.063799874912,370.064681638236,369.580147370456,369.500865005602,369.500865005602,369.500865005602,369.500865005602,381.877387202219,0.084,25900,25,0.98
149,362.98,362.53,364.41,366.07,359.37,345.111017961829,370.136632962305,370.137470449993,370.138307937681,370.139145425368,369.656927184162,369.577785816294,369.577785816294,369.577785816294,369.577785816294,381.954308012911,0.084,25900,25,0.98
150,362.99,362.55,364.42,366.08,359.41,345.177541608375,370.211202426357,370.211996759642,370.212791092926,370.213585426211,369.733676360618,369.654676200294,369.654676200294,369.654676200294,369.654676200294,382.031198396911,0.084,25900,25,0.98
151,363.0,362.58,364.43,366.11,359.45,345.244038691072,370.285744745266,370.286497047082,370.287249348899,370.288001650715,369.810394918811,369.731536175307,369.731536175307,369.731536175307,369.731536175307,382.108058371924,0.084,25900,25,0.98
152,363.0,362.59,364.45,366.14,359.52,345.310509214663,370.360259923886,370.360971318845,370.361682713805,370.362394108764,369.887082877756,369.808365759058,369.808365759058,369.808365759058,369.808365759058,382.184887955675,0.084,25900,25,0.98
153,363.0,362.59,364.5,366.17,359.6,345.376953183917,370.434747967083,370.435419581455,370.436091195828,370.4367628102,369.963740256512,369.88516496932,369.88516496932,369.88516496932,369.88516496932,382.261687165937,0.084,25900,25,0.98
154,362.99,362.58,364.53,366.19,359.63,345.443370603611,370.509208879731,370.509841841446,370.51047480316,370.511107764875,370.040368028511,369.961933823949,369.961933823949,369.961933823949,369.961933823949,382.338456020566,0.084,25900,25,0.98
