Time,TC1_tip,TC2,TC3,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
441,379.87,378.1,354.65,426.272375893506,462.506073621196,462.506073621196,462.506073621196,462.506073621196,462.506073621196,462.506073621196,462.506073621196,462.506073621196,462.506073621196,517.447725782144,0.0375,25900,3,0.98
442,379.79,378.23,354.68,426.377209371699,462.627205787214,462.627205787214,462.627205787214,462.627205787214,462.627205787214,462.627205787214,462.627205787214,462.627205787214,462.627205787214,517.568857948162,0.0375,25900,3,0.98
443,379.74,378.12,354.67,426.481972381422,462.748261410882,462.748261410882,462.748261410882,462.748261410882,462.748261410882,462.748261410882,462.748261410882,462.748261410882,462.748261410882,517.68991357183,0.0375,25900,3,0.98
444,379.71,377.92,354.7,426.586664945348,462.869240509281,462.869240509281,462.869240509281,462.869240509281,462.869240509281,462.869240509281,462.869240509281,462.869240509281,462.869240509281,517.810892670229,0.0375,25900,3,0.98
445,379.64,377.76,354.78,426.691287086178,462.990143099536,462.990143099536,462.990143099536,462.990143099536,462.990143099536,462.990143099536,462.990143099536,462.990143099536,462.990143099536,517.931795260484,0.0375,25900,3,0.98
446,379.52,377.61,354.82,426.795838826645,463.110969198812,463.110969198812,463.110969198812,463.110969198812,463.110969198812,463.110969198812,463.110969198812,463.110969198812,463.110969198812,518.05262135976,0.0375,25900,3,0.98
447,379.38,377.48,354.85,426.900320189508,463.231718824319,463.231718824319,463.231718824319,463.231718824319,463.231718824319,463.231718824319,463.231718824319,463.231718824319,463.231718824319,518.173370985267,0.0375,25900,3,0.98
448,379.16,377.46,354.86,427.00473119756,463.352391993307,463.352391993307,463.352391993307,463.352391993307,463.352391993307,463.352391993307,463.352391993307,463.352391993307,463.352391993307,518.294044154255,0.0375,25900,3,0.98
449,379.0,377.45,354.82,427.109071873623,463.47298872307,463.47298872307,463.47298872307,463.47298872307,463.47298872307,463.47298872307,463.47298872307,463.47298872307,463.47298872307,518.414640884018,0.0375,25900,3,0.98
450,378.93,377.42,354.79,427.213342240545,463.593509030943,463.593509030943,463.593509030943,463.593509030943,463.593509030943,463.593509030943,463.593509030943,463.593509030943,463.593509030943,518.535161191891,0.0375,25900,3,0.98
451,378.93,377.55,354.7,427.317542321208,463.713952934304,463.713952934304,463.713952934304,463.713952934304,463.713952934304,463.713952934304,463.713952934304,463.713952934304,463.713952934304,518.655605095252,0.0375,25900,3,0.98
452,379.06,377.78,354.66,427.421672138522,463.834320450572,463.834320450572,463.834320450572,463.834320450572,463.834320450572,463.834320450572,463.834320450572,463.834320450572,463.834320450572,518.775972611521,0.0375,25900,3,0.98
453,379.16,377.93,354.6,427.525731715425,463.95461159721,463.95461159721,463.95461159721,463.95461159721,463.95461159721,463.95461159721,463.95461159721,463.95461159721,463.95461159721,518.896263758159,0.0375,25900,3,0.98
454,379.24,378.06,354.57,427.629721074887,464.074826391721,464.074826391721,464.074826391721,464.074826391721,464.074826391721,464.074826391721,464.074826391721,464.074826391721,464.074826391721,519.016478552669,0.0375,25900,3,0.98
455,379.37,378.12,354.57,427.733640239905,464.19496485165,464.19496485165,464.19496485165,464.19496485165,464.19496485165,464.19496485165,464.19496485165,464.19496485165,464.19496485165,519.136617012599,0.0375,25900,3,0.98
456,379.43,378.11,354.66,427.837489233508,464.315026994586,464.315026994586,464.315026994586,464.315026994586,464.315026994586,464.315026994586,464.315026994586,464.315026994586,464.315026994586,519.256679155535,0.0375,25900,3,0.98
457,379.48,378.07,354.79,427.941268078751,464.435012838157,464.435012838157,464.435012838157,464.435012838157,464.435012838157,464.435012838157,464.435012838157,464.435012838157,464.435012838157,519.376664999106,0.0375,25900,3,0.98
458,379.54,378.04,354.87,428.044976798721,464.554922400034,464.554922400034,464.554922400034,464.554922400034,464.554922400034,464.554922400034,464.554922400034,464.554922400034,464.554922400034,519.496574560983,0.0375,25900,3,0.98
459,379.63,378.0,354.9,428.148615416532,464.67475569793,464.67475569793,464.67475569793,464.67475569793,464.67475569793,464.67475569793,464.67475569793,464.67475569793,464.67475569793,519.616407858879,0.0375,25900,3,0.98
460,379.86,378.01,354.97,428.252183955329,464.7945127496,464.7945127496,464.7945127496,464.7945127496,464.7945127496,464.7945127496,464.7945127496,464.7945127496,464.7945127496,519.736164910548,0.0375,25900,3,0.98
461,380.12,378.22,355.07,428.355682438285,464.914193572838,464.914193572838,464.914193572838,464.914193572838,464.914193572838,464.914193572838,464.914193572838,464.914193572838,464.914193572838,519.855845733787,0.0375,25900,3,0.98
462,380.19,378.45,355.16,428.459110888602,465.033798185483,465.033798185483,465.033798185483,465.033798185483,465.033798185483,465.033798185483,465.033798185483,465.033798185483,465.033798185483,519.975450346431,0.0375,25900,3,0.98
