time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
292,366.7,359.83,361.82,361.93,361.75,363.67,362.09,362.88,361.95,345.85
293,366.71,359.77,361.79,361.95,361.75,363.67,362.05,362.83,361.96,345.85
294,366.7,359.72,361.76,361.98,361.75,363.67,362.01,362.83,361.97,345.86
295,366.7,359.7,361.74,361.98,361.75,363.66,361.97,362.81,362.0,345.86
296,366.71,359.67,361.73,362.0,361.78,363.66,361.96,362.82,362.03,345.85
297,366.72,359.61,361.72,362.02,361.79,363.67,361.94,362.84,362.04,345.84
298,366.72,359.59,361.72,362.0,361.81,363.67,361.95,362.84,362.04,345.83
299,366.72,359.56,361.71,361.99,361.82,363.68,361.96,362.86,362.04,345.83
300,366.71,359.54,361.71,361.98,361.84,363.69,361.97,362.88,362.04,345.83
301,366.73,359.53,361.72,361.97,361.85,363.69,361.99,362.91,362.05,345.84
302,366.74,359.53,361.74,361.98,361.88,363.7,362.01,362.93,362.06,345.85
303,366.74,359.53,361.75,361.99,361.9,363.69,361.99,362.95,362.08,345.84
304,366.74,359.54,361.76,362.01,361.91,363.69,361.99,362.98,362.09,345.83
305,366.73,359.55,361.78,362.03,361.92,363.68,362.04,363.0,362.08,345.83
306,366.73,359.56,361.79,362.03,361.92,363.68,362.07,363.01,362.06,345.84
307,366.73,359.54,361.78,362.02,361.91,363.69,362.05,363.03,362.04,345.86
308,366.72,359.54,361.79,362.01,361.93,363.71,362.04,363.08,362.03,345.87
309,366.72,359.55,361.79,362.02,361.94,363.73,362.01,363.11,362.03,345.88
310,366.71,359.58,361.79,362.02,361.96,363.76,362.04,363.1,362.05,345.92
311,366.73,359.61,361.8,362.03,361.98,363.8,362.14,363.06,362.09,345.93
312,366.73,359.6,361.8,362.02,361.99,363.84,362.22,363.04,362.12,345.96
313,366.74,359.59,361.79,362.02,362.0,363.87,362.3,363.02,362.14,345.98
314,366.76,359.58,361.8,362.03,362.01,363.9,362.44,363.05,362.17,346.03
315,366.78,359.51,361.82,362.03,362.04,363.9,362.54,363.06,362.24,346.1
316,366.78,359.48,361.83,362.03,362.04,363.9,362.57,363.02,362.28,346.12
317,366.79,359.49,361.82,362.05,362.06,363.91,362.58,362.96,362.29,346.14
318,366.8,359.5,361.8,362.07,362.06,363.93,362.57,362.91,362.29,346.13
319,366.82,359.49,361.77,362.1,362.09,363.93,362.51,362.91,362.28,346.12
320,366.82,359.49,361.73,362.12,362.1,363.96,362.48,362.95,362.26,346.11
321,366.82,359.52,361.7,362.15,362.11,363.96,362.44,363.03,362.25,346.1
322,366.82,359.55,361.68,362.18,362.11,363.97,362.42,363.11,362.22,346.11
323,366.81,359.61,361.67,362.2,362.12,363.96,362.4,363.16,362.2,346.11
324,366.8,359.66,361.7,362.21,362.11,363.95,362.32,363.19,362.19,346.12
325,366.8,359.69,361.72,362.22,362.1,363.96,362.26,363.21,362.2,346.12
326,366.8,359.74,361.74,362.23,362.1,363.95,362.21,363.19,362.22,346.12
327,366.8,359.77,361.77,362.27,362.09,363.96,362.18,363.21,362.24,346.15
328,366.79,359.82,361.81,362.29,362.07,363.96,362.18,363.23,362.24,346.17
