Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
406,379.91,379.79,357.33,222.75,167.07,127.7,112.0,105.85,122.55,23.82,155.2,373.863796946839,402.545971691102,402.545971691102,402.545971691102,402.545971691102,402.545971691102,402.545971691102,402.545971691102,402.545971691102,402.545971691102,432.140393967149,0.0375,25900,25,0.98
407,379.94,379.84,357.36,222.98,167.17,127.78,112.14,106.03,122.67,23.87,155.26,374.00086182862,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,432.295695231832,0.0375,25900,25,0.98
408,379.97,379.88,357.42,223.22,167.33,127.85,112.33,106.3,122.94,23.9,155.36,374.137849962109,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,432.450917258693,0.0375,25900,25,0.98
409,380.01,379.94,357.52,223.35,167.41,127.96,112.57,106.5,123.24,23.84,155.5,374.274761352077,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,432.606060041799,0.0375,25900,25,0.98
410,380.04,379.97,357.58,223.36,167.4,128.02,112.65,106.57,123.34,23.73,155.58,374.41159600335,403.16670129923,403.16670129923,403.16670129923,403.16670129923,403.16670129923,403.16670129923,403.16670129923,403.16670129923,403.16670129923,432.761123575277,0.0375,25900,25,0.98
411,380.08,380.01,357.65,223.22,167.41,128.07,112.66,106.52,123.39,23.46,155.68,374.5483539208,403.321685577268,403.321685577268,403.321685577268,403.321685577268,403.321685577268,403.321685577268,403.321685577268,403.321685577268,403.321685577268,432.916107853315,0.0375,25900,25,0.98
412,380.11,380.04,357.7,223.0,167.4,128.1,112.66,106.38,123.32,23.42,155.74,374.685035109354,403.476590594114,403.476590594114,403.476590594114,403.476590594114,403.476590594114,403.476590594114,403.476590594114,403.476590594114,403.476590594114,433.071012870161,0.0375,25900,25,0.98
413,380.15,380.05,357.72,222.96,167.4,128.13,112.73,106.39,123.28,23.46,155.8,374.821639573987,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,433.225838620122,0.0375,25900,25,0.98
414,380.18,380.07,357.72,222.92,167.43,128.2,112.84,106.4,123.26,23.4,155.85,374.958167319726,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,433.380585097569,0.0375,25900,25,0.98
415,380.21,380.13,357.78,222.85,167.48,128.27,112.97,106.51,123.24,23.43,155.93,375.094618351648,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,433.53525229693,0.0375,25900,25,0.98
416,380.25,380.17,357.83,222.8,167.52,128.35,113.13,106.68,123.29,23.37,155.99,375.230992674881,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,433.689840212695,0.0375,25900,25,0.98
